Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CareerStartAge,CompanyCareerRatio,CurrentRoleCompanyRatio,ManagerCompanyRatio,PromotionLagCompanyRatio,SatisfactionAverage,LogMonthlyIncome,IncomePerJobLevel,OverTimeJobInvolvement
25,0,Travel_Rarely,685,Research & Development,1,3,Life Sciences,350,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,0,No,12,3,4,2,5,3,3,4,2,1,2,20,0.8,0.5,0.5,0.25,2.6666666666666665,8.496786381638575,2449.0,0
42,0,Travel_Rarely,269,Research & Development,2,3,Medical,351,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,1,10,4,3,9,6,7,8,32,0.9,0.6666666666666666,0.8888888888888888,0.7777777777777778,2.6666666666666665,7.860956364876389,2593.0,2
40,0,Travel_Rarely,1416,Research & Development,2,2,Medical,352,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,No,19,3,4,1,22,5,3,21,7,3,9,18,0.9545454545454546,0.3333333333333333,0.42857142857142855,0.14285714285714285,2.6666666666666665,9.874933745118067,3887.2,0
51,0,Travel_Rarely,833,Research & Development,1,3,Life Sciences,353,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,0,1,0,2,1,0,0,0,50,1.0,0.0,0.0,0.0,3.0,7.909856667269403,2723.0,0
31,1,Travel_Frequently,307,Research & Development,29,2,Medical,355,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,No,11,3,2,0,6,2,4,5,4,1,4,25,0.8333333333333334,0.8,0.8,0.2,2.3333333333333335,8.15478757276852,3479.0,0
32,0,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,359,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,0,5,3,1,5,1,0,3,27,1.0,0.2,0.6,0.0,2.3333333333333335,7.9355873855892,2794.0,0
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,361,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,1,13,0,3,8,7,7,5,25,0.6153846153846154,0.875,0.625,0.875,4.0,8.565983355585669,2624.5,0
32,0,Travel_Rarely,128,Research & Development,2,1,Technical Degree,362,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,0,9,5,3,6,2,0,4,23,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,3.0,7.685703061234547,1088.0,0
46,0,Travel_Rarely,488,Sales,2,3,Technical Degree,363,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,1,28,2,2,7,7,7,7,18,0.25,1.0,1.0,1.0,2.3333333333333335,9.733469990198337,4218.0,1
28,1,Travel_Rarely,529,Research & Development,2,4,Life Sciences,364,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,0,5,5,1,0,0,0,0,23,0.0,0.0,0.0,0.0,2.3333333333333335,8.156510226079966,3485.0,0
29,0,Travel_Rarely,1210,Sales,2,3,Medical,366,1,Male,78,2,2,Sales Executive,2,Married,6644,3687,2,No,19,3,2,2,10,2,3,0,0,0,0,19,0.0,0.0,0.0,0.0,1.6666666666666667,8.801619971147346,3322.0,0
31,0,Travel_Rarely,1463,Research & Development,23,3,Medical,367,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,No,21,4,2,1,10,2,3,9,0,7,8,21,0.9,0.0,0.8888888888888888,0.7777777777777778,2.6666666666666665,8.62748154531036,2791.0,0
25,0,Non-Travel,675,Research & Development,5,2,Life Sciences,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,12,3,4,2,6,2,3,6,3,1,5,19,1.0,0.5,0.8333333333333334,0.16666666666666666,2.3333333333333335,8.294299608857235,2000.0,0
45,0,Travel_Rarely,1385,Research & Development,20,2,Medical,372,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Yes,14,3,2,0,21,2,3,20,7,4,10,24,0.9523809523809523,0.35,0.5,0.2,3.0,9.510222717509283,3374.0,3
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,373,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,1,16,4,3,15,13,10,11,20,0.9375,0.8666666666666667,0.7333333333333333,0.6666666666666666,3.6666666666666665,8.074337694089515,3210.0,0
55,0,Travel_Rarely,452,Research & Development,1,3,Medical,374,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,0,37,2,3,36,10,4,13,18,0.972972972972973,0.2777777777777778,0.3611111111111111,0.1111111111111111,2.6666666666666665,9.854612384753992,3809.0,3
47,1,Non-Travel,666,Research & Development,29,4,Life Sciences,376,1,Male,88,3,3,Manager,2,Married,11849,10268,1,Yes,12,3,4,1,10,2,2,10,7,9,9,37,1.0,0.7,0.9,0.9,2.3333333333333335,9.380083146563278,3949.6666666666665,3
28,0,Travel_Rarely,1158,Research & Development,9,3,Medical,377,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,No,23,4,4,1,5,3,2,5,2,0,4,23,1.0,0.4,0.8,0.0,4.0,7.635786861395585,2070.0,0
37,0,Travel_Rarely,228,Sales,6,4,Medical,378,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,1,7,5,4,5,4,0,1,30,0.7142857142857143,0.8,0.2,0.0,3.0,8.780018887869153,3251.0,0
21,0,Travel_Rarely,996,Research & Development,3,2,Medical,379,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,No,17,3,1,0,3,4,4,3,2,1,0,18,1.0,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,8.080546965824498,3230.0,0
37,0,Non-Travel,728,Research & Development,1,4,Medical,380,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Yes,18,3,1,2,15,2,3,5,2,0,2,22,0.3333333333333333,0.4,0.4,0.0,2.0,9.518119146127086,4534.333333333333,3
35,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,381,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,1,10,6,2,7,7,6,2,25,0.7,1.0,0.2857142857142857,0.8571428571428571,2.0,9.392411897514927,3998.6666666666665,0
38,0,Travel_Rarely,322,Sales,7,2,Medical,382,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,1,8,3,3,8,0,7,7,30,1.0,0.0,0.875,0.875,1.6666666666666667,8.631592731724734,2802.5,4
26,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,1,6,6,1,6,5,1,4,20,1.0,0.8333333333333334,0.6666666666666666,0.16666666666666666,2.0,8.763740720509464,3198.5,0
50,0,Travel_Rarely,797,Research & Development,4,1,Life Sciences,385,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,No,14,3,1,2,28,4,2,10,4,1,6,22,0.35714285714285715,0.4,0.6,0.1,1.3333333333333333,9.859796863911395,3828.8,0
53,0,Travel_Rarely,1070,Research & Development,3,4,Medical,386,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Yes,16,3,4,3,21,5,2,5,3,1,3,32,0.23809523809523808,0.6,0.6,0.2,3.3333333333333335,9.774801544908083,4396.0,3
42,0,Travel_Rarely,635,Sales,1,1,Life Sciences,387,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6,22,1.0,0.8,0.3,0.55,2.6666666666666665,8.498621805830801,2453.5,0
29,0,Travel_Frequently,442,Sales,2,2,Life Sciences,388,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,No,18,3,1,0,10,3,2,10,7,0,9,19,1.0,0.7,0.9,0.0,2.3333333333333335,8.423980809694058,2277.0,0
55,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,389,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,1,12,4,3,10,7,0,8,43,0.8333333333333334,0.7,0.8,0.0,3.3333333333333335,8.59711281459211,2707.5,3
26,0,Travel_Frequently,496,Research & Development,11,2,Medical,390,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,1,5,3,3,5,3,3,3,21,1.0,0.6,0.6,0.6,1.6666666666666667,8.464214266625351,2370.5,3
37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,No,12,3,2,0,17,3,3,17,12,5,7,20,1.0,0.7058823529411765,0.4117647058823529,0.29411764705882354,3.3333333333333335,7.65728279297819,2115.0,0
44,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,392,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Yes,22,4,4,1,19,0,1,1,0,0,0,25,0.05263157894736842,0.0,0.0,0.0,3.6666666666666665,8.058960017769417,3161.0,3
38,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,393,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,1,10,2,3,2,2,1,2,28,0.2,1.0,1.0,0.5,3.3333333333333335,8.656259239539235,2872.5,0
26,1,Travel_Rarely,1449,Research & Development,16,4,Medical,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,13,3,4,1,5,2,3,3,2,0,2,21,0.6,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335,7.772331575169614,2373.0,3
28,0,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,395,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,No,21,4,4,0,5,3,3,5,3,0,2,23,1.0,0.6,0.4,0.0,4.0,8.105005537547246,3310.0,0
49,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,396,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,0,22,4,3,3,2,1,2,27,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.6666666666666665,9.834458966125691,3733.0,3
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,397,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,0,10,2,3,8,0,7,7,26,0.8,0.0,0.875,0.875,3.0,8.408716715080153,2242.5,0
31,0,Travel_Frequently,444,Sales,5,3,Marketing,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,1,2,5,2,2,2,2,2,29,1.0,1.0,1.0,1.0,3.0,7.933796874815411,2789.0,0
26,1,Travel_Rarely,950,Sales,4,4,Marketing,401,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Yes,12,3,2,0,8,0,3,8,7,7,4,18,1.0,0.875,0.5,0.875,3.3333333333333335,8.67060073804555,2914.0,2
37,0,Travel_Frequently,889,Research & Development,9,3,Medical,403,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,3,4,3,2,4,2,1,2,33,1.0,0.5,0.5,0.25,3.0,7.752335163302292,2326.0,3
42,0,Travel_Frequently,555,Sales,26,3,Marketing,404,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,1,23,2,4,20,4,4,8,19,0.8695652173913043,0.2,0.4,0.2,3.0,9.512369038134885,3381.25,0
18,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,0,0,2,3,0,0,0,0,18,0.0,0.0,0.0,0.0,3.0,7.259116128097101,1420.0,0
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,9,6,9,23,0.9166666666666666,0.8181818181818182,0.8181818181818182,0.5454545454545454,2.6666666666666665,8.989818381366925,2673.3333333333335,0
36,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,407,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,2,4,2,3,1,0,0,0,32,0.25,0.0,0.0,0.0,3.6666666666666665,8.213110697596676,3688.0,0
51,0,Travel_Rarely,1302,Research & Development,2,3,Medical,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,1,13,3,3,4,1,1,2,38,0.3076923076923077,0.25,0.5,0.25,3.3333333333333335,8.609407675404048,2741.0,0
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,410,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,0,22,2,3,22,10,0,4,19,1.0,0.45454545454545453,0.18181818181818182,0.0,2.6666666666666665,9.681343501555002,4003.75,0
18,0,Travel_Rarely,812,Sales,10,3,Medical,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,0,0,2,3,0,0,0,0,18,0.0,0.0,0.0,0.0,2.6666666666666665,7.0909098220799835,1200.0,0
28,0,Travel_Rarely,1476,Research & Development,16,2,Medical,412,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,0,9,2,3,8,3,0,7,19,0.8888888888888888,0.375,0.875,0.0,2.0,8.641532465671846,2830.5,0
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,21,0.8,0.875,0.875,0.875,2.6666666666666665,8.84361509218395,3464.5,0
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,3,19,5,2,18,10,3,7,20,0.9473684210526315,0.5555555555555556,0.3888888888888889,0.16666666666666666,2.6666666666666665,9.170975648453906,3204.3333333333335,0
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8,25,0.8181818181818182,0.8888888888888888,0.8888888888888888,0.0,2.3333333333333335,8.643825842349603,2837.0,0
32,0,Travel_Rarely,906,Sales,7,3,Life Sciences,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,1,13,3,2,13,8,4,8,19,1.0,0.6153846153846154,0.6153846153846154,0.3076923076923077,3.3333333333333335,8.609772372709331,2742.0,0
38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,421,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1,19,0.5263157894736842,0.8,0.1,0.0,2.0,9.397815294010933,4020.3333333333335,0
58,0,Non-Travel,390,Research & Development,1,4,Life Sciences,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2,46,0.4166666666666667,0.6,0.4,0.2,3.6666666666666665,8.64135583403666,2830.0,1
31,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,423,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,1,6,4,3,5,2,0,3,25,0.8333333333333334,0.4,0.6,0.0,3.3333333333333335,8.480944058741116,4821.0,3
31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,424,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0,22,0.2222222222222222,1.0,0.0,0.5,2.0,8.765770543987257,3205.0,0
45,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11,21,1.0,0.375,0.4583333333333333,0.375,1.0,8.558527054909215,1736.6666666666667,0
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,28,0.6666666666666666,1.0,1.0,1.0,3.0,7.899524472032198,2695.0,3
33,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,428,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,21,0.8333333333333334,0.6,0.8,0.8,2.6666666666666665,9.38252741428954,3959.3333333333335,0
39,0,Travel_Rarely,117,Research & Development,10,1,Medical,429,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10,18,1.0,0.42857142857142855,0.47619047619047616,0.5238095238095238,2.6666666666666665,9.745019231764333,4267.0,3
43,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,0,9,5,3,8,7,1,7,34,0.8888888888888888,0.875,0.875,0.125,2.6666666666666665,7.806289289267033,2455.0,0
49,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Yes,12,3,4,0,25,2,3,7,1,0,7,24,0.28,0.14285714285714285,1.0,0.0,3.3333333333333335,9.544309478379278,3491.0,2
52,1,Travel_Rarely,723,Research & Development,8,4,Medical,433,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,No,15,3,1,0,11,3,2,8,2,7,7,41,0.7272727272727273,0.25,0.875,0.875,2.0,8.505525386548555,2470.5,0
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,434,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,23,1.0,0.75,0.5,0.25,2.3333333333333335,7.8156105320351905,2478.0,3
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,436,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,19,1.0,0.9230769230769231,0.6923076923076923,0.8461538461538461,3.0,8.56197533418813,2614.0,2
27,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Yes,11,3,1,0,5,3,3,5,4,0,4,22,1.0,0.8,0.8,0.0,2.6666666666666665,8.4071550862073,2239.0,3
31,0,Travel_Rarely,691,Sales,7,3,Marketing,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7,18,0.5384615384615384,1.0,1.0,0.14285714285714285,4.0,8.92903790648844,3773.5,0
32,0,Travel_Rarely,1018,Research & Development,2,4,Medical,439,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,22,0.7,1.0,1.0,0.0,2.6666666666666665,8.528330935826693,2527.5,0
28,1,Travel_Rarely,1157,Research & Development,2,4,Medical,440,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Yes,13,3,4,0,5,4,2,3,2,2,2,23,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,8.150467911624004,3464.0,1
30,0,Travel_Rarely,1275,Research & Development,28,2,Medical,441,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,No,13,3,4,2,11,2,3,10,8,1,9,19,0.9090909090909091,0.8,0.9,0.1,4.0,8.661466680572662,2887.5,0
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9,21,1.0,0.9,0.9,0.8,2.3333333333333335,9.09873819539488,2981.0,0
39,0,Travel_Frequently,672,Research & Development,7,2,Medical,444,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,1,21,2,3,21,9,13,3,18,1.0,0.42857142857142855,0.14285714285714285,0.6190476190476191,2.6666666666666665,9.866460431699052,3854.4,0
39,1,Travel_Rarely,1162,Sales,3,2,Medical,445,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0,27,0.08333333333333333,0.0,0.0,0.0,2.6666666666666665,8.56388591940822,2619.0,3
33,0,Travel_Frequently,508,Sales,10,3,Marketing,446,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1,24,0.7777777777777778,1.0,0.14285714285714285,0.0,3.0,8.451694209183541,2341.0,0
47,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,447,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1,26,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,9.814710982145282,3660.0,0
43,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,1,9,3,4,9,7,0,0,34,1.0,0.7777777777777778,0.0,0.0,2.6666666666666665,8.567506005289827,2628.5,0
27,0,Non-Travel,210,Sales,1,1,Marketing,449,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4,21,0.8333333333333334,0.8,0.8,0.2,3.0,8.756210091886738,3174.5,3
54,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,450,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,No,12,3,4,0,20,4,2,4,3,0,3,34,0.2,0.75,0.75,0.0,3.6666666666666665,8.490849216076635,2434.5,0
43,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0,33,0.1,0.0,0.0,0.0,1.6666666666666667,9.208939391060555,3328.3333333333335,0
45,0,Travel_Rarely,549,Research & Development,8,4,Other,452,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8,33,0.8333333333333334,0.9,0.8,0.9,3.0,8.21554741194707,1848.5,0
40,0,Travel_Rarely,1124,Sales,1,2,Medical,453,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2,34,0.6666666666666666,0.75,0.5,0.0,3.0,8.917042560738766,3728.5,1
29,1,Travel_Rarely,318,Research & Development,8,4,Other,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7,22,1.0,1.0,1.0,0.0,2.3333333333333335,7.659171367666058,2119.0,1
29,0,Travel_Rarely,738,Research & Development,9,5,Other,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,25,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,8.290041618704489,3983.0,0
30,0,Travel_Rarely,570,Sales,5,3,Marketing,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2,20,1.0,0.9,0.2,0.1,3.3333333333333335,8.71915396346254,3059.0,0
27,0,Travel_Rarely,1130,Sales,8,4,Marketing,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7,19,1.0,0.875,0.875,0.0,1.6666666666666667,8.734721003944811,3107.0,0
37,0,Travel_Rarely,1192,Research & Development,5,2,Medical,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4,29,0.75,0.3333333333333333,0.6666666666666666,0.0,3.6666666666666665,8.7558950816463,3173.5,0
38,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,461,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9,26,0.9166666666666666,0.9090909090909091,0.8181818181818182,0.18181818181818182,3.0,9.351058378915061,3836.6666666666665,2
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,20,1.0,0.8181818181818182,0.9090909090909091,0.36363636363636365,3.3333333333333335,8.874028122556336,2381.0,3
29,0,Travel_Rarely,144,Sales,10,1,Marketing,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,22,1.0,1.0,1.0,0.14285714285714285,2.3333333333333335,9.020268861722167,4134.0,2
35,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13,18,0.9411764705882353,0.375,0.8125,0.0,3.0,8.999125391527247,2698.3333333333335,0
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2,19,1.0,0.5,0.5,0.0,3.3333333333333335,7.974188669286011,2904.0,0
41,0,Travel_Rarely,483,Research & Development,6,3,Medical,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2,33,0.625,0.8,0.4,0.2,3.3333333333333335,8.704999678440762,3016.0,2
47,0,Travel_Frequently,1309,Sales,4,1,Medical,467,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0,42,0.0,0.0,0.0,0.0,2.0,7.998671361015776,1488.0,0
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,26,0.0625,0.0,0.0,0.0,2.3333333333333335,9.67990640549087,3998.0,0
29,0,Non-Travel,746,Sales,2,3,Life Sciences,469,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2,25,1.0,0.75,0.5,0.0,2.6666666666666665,8.444622498581403,2324.5,0
42,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0,38,0.75,0.6666666666666666,0.0,0.3333333333333333,3.0,7.89989532313973,2696.0,3
32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,24,1.0,0.0,0.875,0.0,2.6666666666666665,7.771067086065406,2370.0,0
48,0,Travel_Rarely,530,Sales,29,1,Medical,473,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0,33,0.0,0.0,0.0,0.0,2.0,9.433883843311719,4168.0,0
37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7,24,0.5384615384615384,1.0,1.0,0.8571428571428571,1.6666666666666667,8.695339376799712,2987.0,4
30,0,Non-Travel,641,Sales,25,2,Technical Degree,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2,26,0.5,1.0,1.0,1.0,3.0,8.463159302923751,2368.0,3
